"name","institution"
"Mohammad Mehdi Homayounpour","Amirkabir University of Technology"
"Robby T. Tan","Yale-NUS College and National University of Singapore, Singapore"
"Volker Köllner","Center for Internal Medicine and Dermatology Charité – Universitätsmedizin Berlin"
"Gordon Guyatt","Department of Medicine and Department of Health Research Methods, Evidence, and Impact, Hamilton, Ontario, Canada"
"Shea Palmer","University of the West of England"
"Bruce Shore","McGill University"
"Ates Karateke","Istanbul Medeniyet University"
"Selome Tesfatsion","Dept. of Comput. Sci. at Umea Univ."
"Lisa Guirguis","Faculty of Pharmacy and Pharmaceutical Sciences, University of Alberta, Edmonton, Alberta, Canada"
"Anners Lerdal","University of Oslo"
"Tim Reeskens","Tilburg University"
"Mona Malhota","Maharshi Dayanand University"
"J Sanchez-Paya","Unidad de Epidemiología, Servicio de Medicina Preventiva, Hospital General Universitario de Alicante, Alicante, Spain"
"Pascal Siegers","GESIS - Leibniz-Institute for the Social Sciences Mannheim, Germany"
"Roma Vishwanath","Apollo Hospital, India"
"Renato Miceli","University of Aosta Valley"
"Thomas Leeper","Department of Government, London School of Economics and Political Science"
"Daniel Griffith","University of Texas at Dallas"
"Martial Van der Linden","University of Geneva"
"Pascal Jordan","Department of Psychosomatic Medicine and Psychotherapy, University Medical Center Hamburg-Eppendorf and Schön Klinik Hamburg Eilbek, Hamburg, Germany"
"Pieter Desmet","Delft University of Technology"
"Satyajit Das","1GU/HIV Medicine, Coventry and Warwickshire Partnership Trust, Coventry, UK"
"Rosidah Musa","UiTM Shah Alam"
"Lubna Nafees","Institute of Management Technology"
"Maki Umeda","Faculty of Community Health Nursing/ Public Health Nursing, St Luke’s, International University, 10-1, Akashi-cho, Chuo-ku, Tokyo, 104-0044, Japan"
"Els Clays","Ghent University"
"Dwight Gentry","UNC - Greensboro"
"Tomas Modeer","SCiBreak AB"
"Douglas Hamilton","University of Calgary"
"Pilar Presas Maynegre","University of Barcelona"
"Erika Poole","Pennsylvania State University, University Park, PA, USA"
"Peter Aelst","Department of Political Science, University of Antwerb and Leiden Univerrsity"
"Sarah Krein","U.S. Department of Veterans Affairs (VA) Ann Arbor Healthcare System"
"Firdaus Mukhtar","Department of Psychiatry, Faculty of Medicine and Health Sciences, Universiti Putra Malaysia (UPM), Selangor, Malaysia"
"Jennifer Jerit","Stony Brook University"
"Antoni Gual","Clinic Hospital of Barcelona, Spain"
"Michael P. Vandenbergh","Vanderbilt University School of Law"
"Frederique Alban","Univ Brest, Ifremer, Plouzane, France"
"Elyse R Park","Massachusetts General Hospital"
"Jiangtao Zhai","School of Electronics and Information, Jiangsu University of Science and Technology, Zhenjiang, Jiangsu, 212003, China"
"Arlene S. Bierman","Center for Evidence and Practice Improvement (CEPI), Agency for Health Care Research and Quality, Washington DC, USA University of Toronto, Toronto, ON, Canada"
