"","name","institution","delete"
"360","Pascal Jordan","Department of Psychosomatic Medicine and Psychotherapy, University Medical Center Hamburg-Eppendorf and Schön Klinik Hamburg Eilbek, Hamburg, Germany",""
"361","Pieter Desmet","Delft University of Technology",""
"362","Satyajit Das","1GU/HIV Medicine, Coventry and Warwickshire Partnership Trust, Coventry, UK",""
"363","Rosidah Musa","UiTM Shah Alam",""
"364","Lubna Nafees","Institute of Management Technology",""
"365","Maki Umeda","Faculty of Community Health Nursing/ Public Health Nursing, St Luke’s, International University, 10-1, Akashi-cho, Chuo-ku, Tokyo, 104-0044, Japan",""
"366","Els Clays","Ghent University",""
"367","Dwight Gentry","UNC - Greensboro",""
"368","Tomas Modeer","SCiBreak AB",""
"369","Douglas Hamilton","University of Calgary",""
"370","Pilar Presas Maynegre","University of Barcelona",""
"371","Erika Poole","Pennsylvania State University, University Park, PA, USA",""
"372","Peter Aelst","Department of Political Science, University of Antwerb and Leiden Univerrsity",""
"373","Sarah Krein","U.S. Department of Veterans Affairs (VA) Ann Arbor Healthcare System",""
"374","Firdaus Mukhtar","Department of Psychiatry, Faculty of Medicine and Health Sciences, Universiti Putra Malaysia (UPM), Selangor, Malaysia",""
"375","Jennifer Jerit","Stony Brook University",""
"376","Antoni Gual","Clinic Hospital of Barcelona, Spain",""
"377","Michael P. Vandenbergh","Vanderbilt University School of Law",""
"378","Frederique Alban","Univ Brest, Ifremer, Plouzane, France",""
"379","Elyse R Park","Massachusetts General Hospital",""
"380","Jiangtao Zhai","School of Electronics and Information, Jiangsu University of Science and Technology, Zhenjiang, Jiangsu, 212003, China",""
"381","Arlene S. Bierman","Center for Evidence and Practice Improvement (CEPI), Agency for Health Care Research and Quality, Washington DC, USA University of Toronto, Toronto, ON, Canada",""
"382","Silke Schmidt","Ernst-Moritz-Arndt-University",""
"383","Tine Fuglsang","Justitsministeriets Forskningskontor",""
"384","Róbert Urbán","Eötvös Loránd University (ELTE PPK)",""
"385","Josep Casanovas","Universitat Politècnica de Catalunya, Spain",""
"386","Kevin Mullinix","Department of Political Science, University of Kansas, Lawrence, KS",""
"387","John Dziak","The Pennsylvania State University, University Park",""
"388","Edgar Kiser","University of Washington, USA",""
"389","Graca Carapinheiro","School of Sociology and Public Policies, ISCTE-Instituto Universitário de Lisboa, Av Forcas Armadas, 1649-026, Lisbon, Portugal",""
"390","Paul Berger","Bentley University Waltham, MA, U.S.A.",""
"391","Tomer Einat","Bar-Ilan University",""
"392","Diana García-Beltrán","Facultad de Psicología, Fundación Universitaria Konrad Lorenz, Bogotá, Colombia",""
"393","Renata Bertazzi Levy","School of Medicine—University of Sao Paulo (Faculdade de Medicina—Universidade de São Paulo), Sao Paulo, Brazil",""
